,solddate,price,beds,baths,sqft,sqftlot,href
"Image for 68 Mountain Brook Dr, Brewster, NY 10509 is not found","Sold - May 31, 2022","$475,000",3bed,1.5bath,"1,633sqft",1.12acre lot,/realestateandhomes-detail/68-Mountain-Brook-Dr_Brewster_NY_10509_M44098-51043
"Image for 32 Sunset Hill Rd, Bethel, CT 06801 is not found","Sold - May 31, 2022","$590,000",3bed,3bath,"2,322sqft",1.89acre lot,/realestateandhomes-detail/32-Sunset-Hill-Rd_Bethel_CT_06801_M37108-57581
"Image for 28 Deer Spring Rd, Redding, CT 06896 is not found","Sold - May 31, 2022","$605,000",4bed,2.5bath,"2,552sqft",2.09acre lot,/realestateandhomes-detail/28-Deer-Spring-Rd_Redding_CT_06896_M45571-50871
"Image for 159 Plymouth Ave, Trumbull, CT 06611 is not found","Sold - May 31, 2022","$400,500",4bed,2.5bath,"2,554sqft",3.26acre lot,/realestateandhomes-detail/159-Plymouth-Ave_Trumbull_CT_06611_M44927-84181
"Image for 1 Westwood Ter, Danbury, CT 06811 is not found","Sold - May 31, 2022","$325,000",3bed,1bath,"1,352sqft",1.1acre lot,/realestateandhomes-detail/1-Westwood-Ter_Danbury_CT_06811_M35286-87316
"Image for 5 Sunrise Dr, Putnam Valley, NY 10579 is not found","Sold - May 26, 2022","$645,000",5bed,3bath,"2,749sqft",1acre lot,/realestateandhomes-detail/5-Sunrise-Dr_Putnam-Valley_NY_10579_M39255-54227
"Image for 36 Boot Shop Ln, Monroe, CT 06468 is not found","Sold - May 26, 2022","$550,000",3bed,2.5bath,"1,724sqft",1.17acre lot,/realestateandhomes-detail/36-Boot-Shop-Ln_Monroe_CT_06468_M44326-61620
,"Sold - May 25, 2022","$770,000",3bed,3bath,"3,692sqft",1.02acre lot,/realestateandhomes-detail/33-Hartcroft-Rd_Stamford_CT_06903_M36501-38245
,"Sold - May 25, 2022","$740,000",3bed,2bath,"2,660sqft",4.23acre lot,/realestateandhomes-detail/89-Putnam-Park-Rd_Bethel_CT_06801_M37684-64614
,"Sold - May 25, 2022","$795,000",3bed,2bath,"1,726sqft",1.5acre lot,/realestateandhomes-detail/78-Raymond-St_Darien_CT_06820_M40212-19906
"Image for 86 Opper Rd, Stamford, CT 06903 is not found","Sold - May 25, 2022","$730,000",2bed,2bath,"1,761sqft",1acre lot,/realestateandhomes-detail/86-Opper-Rd_Stamford_CT_06903_M30306-03323
"Image for 58 Rock House Rd, Easton, CT 06612 is not found","Sold - May 25, 2022","$520,000",5bed,3.5bath,"7,455sqft",3.01acre lot,/realestateandhomes-detail/58-Rock-House-Rd_Easton_CT_06612_M38832-12748
"Image for 18 Indian Hill Rd, Wilton, CT 06897 is not found","Sold - May 24, 2022","$370,000",2bed,1.5bath,720sqft,1.83acre lot,/realestateandhomes-detail/18-Indian-Hill-Rd_Wilton_CT_06897_M41581-16605
"Image for 273 Daniels Farm Rd, Trumbull, CT 06611 is not found","Sold - May 23, 2022","$540,000",3bed,3bath,"2,092sqft",1.36acre lot,/realestateandhomes-detail/273-Daniels-Farm-Rd_Trumbull_CT_06611_M49581-98720
"Image for 119 Elm St, Monroe, CT 06468 is not found","Sold - May 20, 2022","$285,000",2bed,1.5bath,"1,532sqft",1.04acre lot,/realestateandhomes-detail/119-Elm-St_Monroe_CT_06468_M38974-40115
"Image for 21 Blackman Rd, Ridgefield, CT 06877 is not found","Sold - May 20, 2022","$500,000",4bed,2.5bath,"2,664sqft",1.07acre lot,/realestateandhomes-detail/21-Blackman-Rd_Ridgefield_CT_06877_M38376-23019
"Image for 21 Ferris Dr, Garrison, NY 10524 is not found","Sold - May 20, 2022","$425,000",2bed,1bath,816sqft,1.06acre lot,/realestateandhomes-detail/21-Ferris-Dr_Garrison_NY_10524_M49132-80145
"Image for 59 Flint Ridge Rd, Monroe, CT 06468 is not found","Sold - May 18, 2022","$451,000",3bed,2bath,"1,799sqft",1.02acre lot,/realestateandhomes-detail/59-Flint-Ridge-Rd_Monroe_CT_06468_M33942-38093
"Image for 49 Fox Run Ln, Greenwich, CT 06831 is not found","Sold - May 16, 2022","$488,889",6bed,8.5+bath,"8,321sqft",2.2acre lot,/realestateandhomes-detail/49-Fox-Run-Ln_Greenwich_CT_06831_M42398-39595
"Image for 25 Wood Glen Dr, Mahopac, NY 10541 is not found","Sold - May 16, 2022","$775,000",3bed,2.5bath,"2,924sqft",10.19acre lot,/realestateandhomes-detail/25-Wood-Glen-Dr_Mahopac_NY_10541_M48996-96969
"Image for 18 Fern Ln, Newtown, CT 06470 is not found","Sold - May 12, 2022","$301,500",3bed,1.5bath,"1,309sqft",1.05acre lot,/realestateandhomes-detail/18-Fern-Ln_Newtown_CT_06470_M32267-66599
"Image for 16 N Calvin Rd, Weston, CT 06883 is not found","Sold - May 12, 2022","$790,000",3bed,2bath,"2,021sqft",2.01acre lot,/realestateandhomes-detail/16-N-Calvin-Rd_Weston_CT_06883_M35928-03630
"Image for 137 Hunting Ridge Rd, Stamford, CT 06903 is not found","Sold - May 12, 2022","$770,000",3bed,3bath,"2,626sqft",1.13acre lot,/realestateandhomes-detail/137-Hunting-Ridge-Rd_Stamford_CT_06903_M47942-93475
"Image for 4 Melody Ln, Newtown, CT 06470 is not found","Sold - May 12, 2022","$370,000",3bed,1bath,"1,040sqft",1.06acre lot,/realestateandhomes-detail/4-Melody-Ln_Newtown_CT_06470_M49074-21504
"Image for 6 Kayla Ln, Mahopac, NY 10541 is not found","Sold - May 11, 2022","$760,000",4bed,2.5bath,"3,155sqft",1.8acre lot,/realestateandhomes-detail/6-Kayla-Ln_Mahopac_NY_10541_M40813-55948
"Image for 94 Red Fox Rd, Stamford, CT 06903 is not found","Sold - May 11, 2022","$437,500",3bed,3bath,"3,376sqft",1.55acre lot,/realestateandhomes-detail/94-Red-Fox-Rd_Stamford_CT_06903_M36681-71813
"Image for 355 Cascade Rd, Stamford, CT 06903 is not found","Sold - May 11, 2022","$750,000",4bed,3bath,"3,088sqft",1.63acre lot,/realestateandhomes-detail/355-Cascade-Rd_Stamford_CT_06903_M49761-83649
"Image for 30 Bob White Ter, Monroe, CT 06468 is not found","Sold - May 10, 2022","$445,000",3bed,1bath,"1,660sqft",1.13acre lot,/realestateandhomes-detail/30-Bob-White-Ter_Monroe_CT_06468_M30080-70543
"Image for 28 Laurel Ledge Ct, Stamford, CT 06903 is not found","Sold - May 10, 2022","$655,000",4bed,2.5bath,"3,176sqft",1.42acre lot,/realestateandhomes-detail/28-Laurel-Ledge-Ct_Stamford_CT_06903_M34204-16455
"Image for 165 Lake Ave, Trumbull, CT 06611 is not found","Sold - May 10, 2022","$635,000",4bed,2.5bath,"2,000sqft",1.02acre lot,/realestateandhomes-detail/165-Lake-Ave_Trumbull_CT_06611_M43362-29957
"Image for 18 Tubbs Spring Ct, Weston, CT 06883 is not found","Sold - May 10, 2022","$785,000",4bed,3.5bath,"2,555sqft",2acre lot,/realestateandhomes-detail/18-Tubbs-Spring-Ct_Weston_CT_06883_M32554-43276
"Image for 54 Kings Ridge Rd, Mahopac, NY 10541 is not found","Sold - May 9, 2022","$597,500",3bed,2.5bath,"2,265sqft",1.75acre lot,/realestateandhomes-detail/54-Kings-Ridge-Rd_Mahopac_NY_10541_M40821-79834
"Image for 9 Old Fire Rd, Trumbull, CT 06611 is not found","Sold - May 9, 2022","$671,250",4bed,2.5bath,"2,628sqft",1acre lot,/realestateandhomes-detail/9-Old-Fire-Rd_Trumbull_CT_06611_M44020-04346
"Image for 147 Slice Dr, Stamford, CT 06907 is not found","Sold - May 9, 2022","$730,000",4bed,2.5bath,"2,166sqft",1.06acre lot,/realestateandhomes-detail/147-Slice-Dr_Stamford_CT_06907_M30142-22572
"Image for 21 Barton Rd, Monroe, CT 06468 is not found","Sold - May 9, 2022","$532,000",3bed,2.5bath,"2,093sqft",1.27acre lot,/realestateandhomes-detail/21-Barton-Rd_Monroe_CT_06468_M45878-77603
"Image for 220 Butternut Ln, Stamford, CT 06903 is not found","Sold - May 9, 2022","$795,000",4bed,3.5bath,"3,452sqft",1acre lot,/realestateandhomes-detail/220-Butternut-Ln_Stamford_CT_06903_M46125-49308
"Image for 185 Lonetown Rd, Redding, CT 06896 is not found","Sold - May 9, 2022","$600,000",4bed,3.5bath,"3,439sqft",3.21acre lot,/realestateandhomes-detail/185-Lonetown-Rd_Redding_CT_06896_M44162-11077
"Image for 6 Bishop Park Rd, Pound Ridge, NY 10576 is not found","Sold - May 6, 2022","$765,000",2bed,2bath,"1,798sqft",3.37acre lot,/realestateandhomes-detail/6-Bishop-Park-Rd_Pound-Ridge_NY_10576_M30630-34078
"Image for 260 Bennetts Farm Rd, Ridgefield, CT 06877 is not found","Sold - May 6, 2022","$500,000",3bed,2bath,"1,170sqft",1.51acre lot,/realestateandhomes-detail/260-Bennetts-Farm-Rd_Ridgefield_CT_06877_M41867-84081
"Image for 86 Chatham Rd, Stamford, CT 06903 is not found","Sold - May 6, 2022","$799,000",4bed,2.5bath,"3,154sqft",1.52acre lot,/realestateandhomes-detail/86-Chatham-Rd_Stamford_CT_06903_M32963-58132
"Image for 35 Partridge Ln, Putnam Valley, NY 10579 is not found","Sold - May 6, 2022","$555,000",4bed,2.5bath,"2,118sqft",1acre lot,/realestateandhomes-detail/35-Partridge-Ln_Putnam-Valley_NY_10579_M37794-34466
"Image for 71 Grandview Dr, Ridgefield, CT 06877 is not found","Sold - May 6, 2022","$635,000",3bed,2bath,"1,298sqft",1.09acre lot,/realestateandhomes-detail/71-Grandview-Dr_Ridgefield_CT_06877_M44660-43681
"Image for 22 Pheasant Ln, Stamford, CT 06903 is not found","Sold - May 6, 2022","$635,000",3bed,2bath,"2,223sqft",1.06acre lot,/realestateandhomes-detail/22-Pheasant-Ln_Stamford_CT_06903_M31689-28021
"Image for 18 Mariana Farms Dr, Danbury, CT 06811 is not found","Sold - May 5, 2022","$670,000",4bed,2.5bath,"2,756sqft",1.87acre lot,/realestateandhomes-detail/18-Mariana-Farms-Dr_Danbury_CT_06811_M37101-35190
"Image for 161 Mexico Ln, Mahopac, NY 10541 is not found","Sold - May 3, 2022","$420,000",2bed,1.5bath,"1,327sqft",1.27acre lot,/realestateandhomes-detail/161-Mexico-Ln_Mahopac_NY_10541_M38860-60551
"Image for 459 Oscawana Lake Rd, Putnam Valley, NY 10579 is not found","Sold - May 3, 2022","$560,000",3bed,2bath,"1,911sqft",1.47acre lot,/realestateandhomes-detail/459-Oscawana-Lake-Rd_Putnam-Valley_NY_10579_M36131-16565
"Image for 9 Rocco Dr, Brewster, NY 10509 is not found","Sold - May 3, 2022","$525,000",3bed,1.5bath,"1,746sqft",1acre lot,/realestateandhomes-detail/9-Rocco-Dr_Brewster_NY_10509_M46950-21407
"Image for 21 Drew Ln, Carmel, NY 10512 is not found","Sold - May 2, 2022","$665,000",4bed,4bath,"3,859sqft",1.7acre lot,/realestateandhomes-detail/21-Drew-Ln_Carmel_NY_10512_M30405-22209
"Image for 20 Weatherbell Dr, Norwalk, CT 06851 is not found","Sold - May 2, 2022","$630,020",5bed,2.5bath,"2,635sqft",1.35acre lot,/realestateandhomes-detail/20-Weatherbell-Dr_Norwalk_CT_06851_M38742-85551
,"Sold - May 2, 2022","$735,000",4bed,4bath,"2,472sqft",2.72acre lot,/realestateandhomes-detail/109-Sanfordtown-Rd_Redding_CT_06896_M43972-88018
,"Sold - May 2, 2022","$586,500",3bed,2bath,"2,053sqft",2.07acre lot,/realestateandhomes-detail/12-Beauiles-Ln_Redding_CT_06896_M45194-00471
,"Sold - May 2, 2022","$540,000",4bed,2.5bath,"2,567sqft",1.71acre lot,/realestateandhomes-detail/327-Fan-Hill-Rd_Monroe_CT_06468_M30368-94970
"Image for 68 Parry Rd, Stamford, CT 06907 is not found","Sold - May 2, 2022","$450,000",3bed,2.5bath,"2,790sqft",1.04acre lot,/realestateandhomes-detail/68-Parry-Rd_Stamford_CT_06907_M42255-47143
"Image for 31 E Maiden Ln, Monroe, CT 06468 is not found","Sold - Apr 29, 2022","$420,000",3bed,1.5bath,"1,608sqft",1acre lot,/realestateandhomes-detail/31-E-Maiden-Ln_Monroe_CT_06468_M46347-06188
"Image for 50 Sherwood Dr, Easton, CT 06612 is not found","Sold - Apr 29, 2022","$800,000",4bed,2.5bath,"2,387sqft",3.03acre lot,/realestateandhomes-detail/50-Sherwood-Dr_Easton_CT_06612_M38946-90659
"Image for 215 Eden Rd, Stamford, CT 06907 is not found","Sold - Apr 29, 2022","$720,000",4bed,2.5bath,"2,744sqft",1acre lot,/realestateandhomes-detail/215-Eden-Rd_Stamford_CT_06907_M37357-34967
"Image for 22 Maplecrest Dr, Danbury, CT 06811 is not found","Sold - Apr 28, 2022","$645,000",4bed,2.5bath,"2,544sqft",1.3acre lot,/realestateandhomes-detail/22-Maplecrest-Dr_Danbury_CT_06811_M37068-93053
"Image for 2 Brightview Ct, Mahopac, NY 10541 is not found","Sold - Apr 27, 2022","$560,000",3bed,2bath,"2,196sqft",1.38acre lot,/realestateandhomes-detail/2-Brightview-Ct_Mahopac_NY_10541_M34437-88345
"Image for 88 Peekskill Hollow Rd, Putnam Valley, NY 10579 is not found","Sold - Apr 27, 2022","$606,500",3bed,2bath,"2,445sqft",1.39acre lot,/realestateandhomes-detail/88-Peekskill-Hollow-Rd_Putnam-Valley_NY_10579_M39126-22945
"Image for 40 Dads Ln, Stamford, CT 06903 is not found","Sold - Apr 27, 2022","$750,000",3bed,2.5bath,"2,360sqft",1.05acre lot,/realestateandhomes-detail/40-Dads-Ln_Stamford_CT_06903_M39811-27866
"Image for 48 Country Ridge Dr, Monroe, CT 06468 is not found","Sold - Apr 26, 2022","$710,000",4bed,4bath,"3,010sqft",1acre lot,/realestateandhomes-detail/48-Country-Ridge-Dr_Monroe_CT_06468_M47769-42251
"Image for 22 McIntosh Ct, Stamford, CT 06903 is not found","Sold - Apr 26, 2022","$737,000",4bed,2.5bath,"2,469sqft",1.06acre lot,/realestateandhomes-detail/22-McIntosh-Ct_Stamford_CT_06903_M32613-10293
"Image for 48 Cherry Hill Rd, Carmel, NY 10512 is not found","Sold - Apr 26, 2022","$725,000",4bed,3.5bath,"3,039sqft",1.59acre lot,/realestateandhomes-detail/48-Cherry-Hill-Rd_Carmel_NY_10512_M43259-73630
"Image for 420 Sprout Brook Rd, Garrison, NY 10524 is not found","Sold - Apr 25, 2022","$463,000",2bed,1bath,"1,728sqft",1.15acre lot,/realestateandhomes-detail/420-Sprout-Brook-Rd_Garrison_NY_10524_M46978-08465
"Image for 47 Millstone Rd, Wilton, CT 06897 is not found","Sold - Apr 25, 2022","$600,000",4bed,3bath,"2,315sqft",2.72acre lot,/realestateandhomes-detail/47-Millstone-Rd_Wilton_CT_06897_M49515-28117
"Image for 6 Daniska Dr, Bethel, CT 06801 is not found","Sold - Apr 25, 2022","$500,000",4bed,2.5bath,"2,229sqft",2.01acre lot,/realestateandhomes-detail/6-Daniska-Dr_Bethel_CT_06801_M39700-36097
"Image for 18 Pheasant Run Rd, Putnam Valley, NY 10579 is not found","Sold - Apr 21, 2022","$775,000",4bed,2.5bath,"2,472sqft",2.72acre lot,/realestateandhomes-detail/18-Pheasant-Run-Rd_Putnam-Valley_NY_10579_M49470-43089
"Image for 22 Ryan Ct, Mahopac, NY 10541 is not found","Sold - Apr 21, 2022","$749,000",3bed,2.5bath,"2,588sqft",1.42acre lot,/realestateandhomes-detail/22-Ryan-Ct_Mahopac_NY_10541_M41452-46037
"Image for 576 Barrack Hill Rd, Ridgefield, CT 06877 is not found","Sold - Apr 21, 2022","$576,000",3bed,3bath,"2,210sqft",3.5acre lot,/realestateandhomes-detail/576-Barrack-Hill-Rd_Ridgefield_CT_06877_M35350-77279
"Image for 43 Orchard Hill Rd, Newtown, CT 06470 is not found","Sold - Apr 21, 2022","$445,000",4bed,2.5bath,"2,880sqft",2.01acre lot,/realestateandhomes-detail/43-Orchard-Hill-Rd_Newtown_CT_06470_M34769-94379
"Image for 2 Whittier Hills Rd, North Salem, NY 10560 is not found","Sold - Apr 20, 2022","$575,000",3bed,3.5bath,"2,250sqft",1.62acre lot,/realestateandhomes-detail/2-Whittier-Hills-Rd_North-Salem_NY_10560_M40388-11112
"Image for 264 Umpawaug Rd, Redding, CT 06896 is not found","Sold - Apr 20, 2022","$725,000",4bed,3.5bath,"3,940sqft",2.81acre lot,/realestateandhomes-detail/264-Umpawaug-Rd_Redding_CT_06896_M42942-01954
"Image for 62 Ridgecrest Dr, Ridgefield, CT 06877 is not found","Sold - Apr 20, 2022","$520,000",3bed,2bath,"1,378sqft",1.19acre lot,/realestateandhomes-detail/62-Ridgecrest-Dr_Ridgefield_CT_06877_M34542-53930
"Image for 112 Aspen Ln, Trumbull, CT 06611 is not found","Sold - Apr 20, 2022","$700,000",4bed,2.5bath,"3,196sqft",1acre lot,/realestateandhomes-detail/112-Aspen-Ln_Trumbull_CT_06611_M41154-45695
"Image for 2557 Carmel Ave, Brewster, NY 10509 is not found","Sold - Apr 19, 2022","$263,750",2bed,1bath,990sqft,4.09acre lot,/realestateandhomes-detail/2557-Carmel-Ave_Brewster_NY_10509_M45489-27540
"Image for 40 E Maiden Ln, Monroe, CT 06468 is not found","Sold - Apr 19, 2022","$387,000",3bed,2.5bath,"1,944sqft",1acre lot,/realestateandhomes-detail/40-E-Maiden-Ln_Monroe_CT_06468_M49057-56093
"Image for 45 Varna Dr, Mahopac, NY 10541 is not found","Sold - Apr 18, 2022","$625,000",5bed,3.5bath,"3,292sqft",1.6acre lot,/realestateandhomes-detail/45-Varna-Ln_Mahopac_NY_10541_M38031-43829
"Image for 41 Woodchuck Ln, Ridgefield, CT 06877 is not found","Sold - Apr 18, 2022","$741,000",4bed,3bath,"2,136sqft",1.27acre lot,/realestateandhomes-detail/41-Woodchuck-Ln_Ridgefield_CT_06877_M37860-26136
"Image for 137 Peaceable Hill Rd, Brewster, NY 10509 is not found","Sold - Apr 18, 2022","$530,000",5bed,2bath,"2,068sqft",1.08acre lot,/realestateandhomes-detail/137-Peaceable-Hill-Rd_Brewster_NY_10509_M40902-21054
"Image for 6 Blackberry Ln, Norwalk, CT 06850 is not found","Sold - Apr 18, 2022","$642,000",3bed,2bath,"1,700sqft",1acre lot,/realestateandhomes-detail/6-Blackberry-Ln_Norwalk_CT_06850_M49795-05210
"Image for 72 Orchard Dr, Redding, CT 06896 is not found","Sold - Apr 18, 2022","$739,000",4bed,2.5bath,"2,055sqft",2.08acre lot,/realestateandhomes-detail/72-Orchard-Dr_Redding_CT_06896_M33553-09704
"Image for 8 Beauiles Ln, Redding, CT 06896 is not found","Sold - Apr 18, 2022","$525,000",5bed,3.5bath,"2,447sqft",2.4acre lot,/realestateandhomes-detail/8-Beauiles-Ln_Redding_CT_06896_M32294-25350
"Image for 38 Cross Hwy, Redding, CT 06896 is not found","Sold - Apr 18, 2022","$740,000",3bed,2.5bath,"2,471sqft",1acre lot,/realestateandhomes-detail/38-Cross-Hwy_Redding_CT_06896_M33894-82573
"Image for 44 Sleepy Hollow Dr, Monroe, CT 06468 is not found","Sold - Apr 18, 2022","$702,000",4bed,2.5bath,"2,559sqft",1.1acre lot,/realestateandhomes-detail/44-Sleepy-Hollow-Dr_Monroe_CT_06468_M49563-25977
"Image for 12 Fairfield Ct, Ridgefield, CT 06877 is not found","Sold - Apr 18, 2022","$625,000",3bed,2bath,"1,526sqft",1.05acre lot,/realestateandhomes-detail/12-Fairfield-Ct_Ridgefield_CT_06877_M44780-58019
"Image for 80 Orchard Hill Rd, Carmel, NY 10512 is not found","Sold - Apr 18, 2022","$640,000",4bed,2.5bath,"3,061sqft",3.82acre lot,/realestateandhomes-detail/80-Orchard-Hill-Rd_Carmel_NY_10512_M39418-84933
"Image for 30 Hillsboro Rd, Trumbull, CT 06611 is not found","Sold - Apr 14, 2022","$325,000",3bed,1.5bath,"1,619sqft",1.02acre lot,/realestateandhomes-detail/30-Hillsboro-Rd_Trumbull_CT_06611_M33058-64096
"Image for 15 Half Mile Cmn, Westport, CT 06880 is not found","Sold - Apr 14, 2022","$635,000",3bed,2bath,"1,176sqft",1.01acre lot,/realestateandhomes-detail/15-Half-Mile-Cmn_Westport_CT_06880_M42180-38835
"Image for 5 Live Oak Rd, Norwalk, CT 06851 is not found","Sold - Apr 14, 2022","$675,000",4bed,2.5bath,"2,180sqft",1acre lot,/realestateandhomes-detail/5-Live-Oak-Rd_Norwalk_CT_06851_M36191-78287
"Image for 69 Old Dike Rd, Trumbull, CT 06611 is not found","Sold - Apr 13, 2022","$500,000",5bed,3bath,"2,373sqft",1.04acre lot,/realestateandhomes-detail/69-Old-Dike-Rd_Trumbull_CT_06611_M37908-59092
"Image for 37 Ferndale Dr, Easton, CT 06612 is not found","Sold - Apr 13, 2022","$675,000",4bed,3.5bath,"2,052sqft",1.05acre lot,/realestateandhomes-detail/37-Ferndale-Dr_Easton_CT_06612_M37912-17657
,"Sold - Apr 13, 2022","$650,000",4bed,2bath,"2,303sqft",1.09acre lot,/realestateandhomes-detail/90-Prospect-Hill-Rd_Brewster_NY_10509_M95756-03043
,"Sold - Apr 13, 2022","$552,500",4bed,2.5bath,"2,575sqft",1.86acre lot,/realestateandhomes-detail/44-Emily-Ln_Mahopac_NY_10541_M42999-36109
,"Sold - Apr 13, 2022","$650,000",3bed,3.5bath,"1,510sqft",1.85acre lot,/realestateandhomes-detail/50-Seventy-Acre-Rd_Redding_CT_06896_M34933-97508
"Image for 36 Arden Dr, Garrison, NY 10524 is not found","Sold - Apr 12, 2022","$300,000",2bed,1bath,824sqft,1.05acre lot,/realestateandhomes-detail/36-Arden-Dr_Garrison_NY_10524_M48689-90199
"Image for 19 Phyllis Ln, Newtown, CT 06470 is not found","Sold - Apr 12, 2022","$540,000",4bed,2.5bath,"1,932sqft",2.07acre lot,/realestateandhomes-detail/19-Phyllis-Ln_Newtown_CT_06470_M37835-81288
"Image for 16 College Park Dr, Danbury, CT 06811 is not found","Sold - Apr 11, 2022","$330,000",3bed,2bath,"2,252sqft",1.24acre lot,/realestateandhomes-detail/16-College-Park-Dr_Danbury_CT_06811_M49377-61056
"Image for 176 Meadows End Rd, Monroe, CT 06468 is not found","Sold - Apr 11, 2022","$780,000",4bed,2.5bath,"3,148sqft",1.75acre lot,/realestateandhomes-detail/176-Meadows-End-Rd_Monroe_CT_06468_M43506-31242
"Image for 33 Rock Ridge Rd, Newtown, CT 06470 is not found","Sold - Apr 11, 2022","$585,000",4bed,2.5bath,"2,208sqft",2.05acre lot,/realestateandhomes-detail/33-Rock-Ridge-Rd_Newtown_CT_06470_M43030-57154
"Image for 50 Lorraine Dr, Monroe, CT 06468 is not found","Sold - Apr 11, 2022","$475,500",3bed,1.5bath,"1,296sqft",1.3acre lot,/realestateandhomes-detail/50-Lorraine-Dr_Monroe_CT_06468_M45644-63219
"Image for 111 Park View Rd N, Pound Ridge, NY 10576 is not found","Sold - Apr 8, 2022","$572,000",3bed,2bath,"2,162sqft",2.13acre lot,/realestateandhomes-detail/111-Park-View-Rd-N_Pound-Ridge_NY_10576_M46224-49484
"Image for 31 Cooper Hill Rd, Ridgefield, CT 06877 is not found","Sold - Apr 8, 2022","$725,950",4bed,2.5bath,"2,403sqft",1.24acre lot,/realestateandhomes-detail/31-Cooper-Hill-Rd_Ridgefield_CT_06877_M42975-01197
"Image for 27 Trinity Pass Rd, Pound Ridge, NY 10576 is not found","Sold - Apr 8, 2022","$555,000",4bed,3bath,"3,062sqft",2.48acre lot,/realestateandhomes-detail/27-Trinity-Pass-Rd_Pound-Ridge_NY_10576_M45320-98466
"Image for 46 Kirk Lake Dr, Mahopac, NY 10541 is not found","Sold - Apr 8, 2022","$544,000",4bed,2.5bath,"2,936sqft",3.78acre lot,/realestateandhomes-detail/46-Kirk-Lake-Dr_Mahopac_NY_10541_M44087-89927
"Image for 1 Fabbri Ct, Mahopac, NY 10541 is not found","Sold - Apr 7, 2022","$800,000",3bed,3.5bath,"2,966sqft",1.38acre lot,/realestateandhomes-detail/1-Fabbri-Ct_Mahopac_NY_10541_M36088-27832
"Image for 4917 Madison Ave, Trumbull, CT 06611 is not found","Sold - Apr 7, 2022","$370,000",3bed,2.5bath,"1,460sqft",1acre lot,/realestateandhomes-detail/4917-Madison-Ave_Trumbull_CT_06611_M44785-19304
"Image for 74 Columbine Dr, Trumbull, CT 06611 is not found","Sold - Apr 7, 2022","$375,000",5bed,2bath,"2,496sqft",1.14acre lot,/realestateandhomes-detail/74-Columbine-Dr_Trumbull_CT_06611_M49965-85790
"Image for 88 Breckenridge Rd, Mahopac, NY 10541 is not found","Sold - Apr 6, 2022","$530,000",4bed,2bath,"2,768sqft",1.12acre lot,/realestateandhomes-detail/88-Breckenridge-Rd_Mahopac_NY_10541_M31321-21896
"Image for 9 Cross Hill Rd, Bethel, CT 06801 is not found","Sold - Apr 6, 2022","$540,000",4bed,4bath,"3,006sqft",1.12acre lot,/realestateandhomes-detail/9-Cross-Hill-Rd_Bethel_CT_06801_M32327-84177
"Image for 39 Morningside Dr, Ossining, NY 10562 is not found","Sold - Apr 6, 2022","$500,000",3bed,2bath,"1,104sqft",2.63acre lot,/realestateandhomes-detail/39-Morningside-Dr_Ossining_NY_10562_M39787-44190
"Image for 6 Great Pond Ln, Redding, CT 06896 is not found","Sold - Apr 6, 2022","$526,000",4bed,2bath,916sqft,2.68acre lot,/realestateandhomes-detail/6-Great-Pond-Ln_Redding_CT_06896_M39188-30582
"Image for 863 Danbury Rd, Wilton, CT 06897 is not found","Sold - Apr 5, 2022","$650,000",3bed,2bath,"1,454sqft",1acre lot,/realestateandhomes-detail/863-Danbury-Rd_Wilton_CT_06897_M42879-10734
"Image for 4601 Black Rock Tpke, Fairfield, CT 06824 is not found","Sold - Apr 4, 2022","$729,000",4bed,1.5bath,"2,022sqft",1.9acre lot,/realestateandhomes-detail/4601-Black-Rock-Tpke_Fairfield_CT_06824_M41514-78896
"Image for 31 Stadley Rough Rd, Danbury, CT 06811 is not found","Sold - Apr 4, 2022","$650,000",4bed,2.5bath,"2,616sqft",1.02acre lot,/realestateandhomes-detail/31-Stadley-Rough-Rd_Danbury_CT_06811_M43824-24165
"Image for 99 Starrs Plain Rd, Danbury, CT 06810 is not found","Sold - Apr 4, 2022","$799,000",4bed,3.5bath,"2,976sqft",2.51acre lot,/realestateandhomes-detail/99-Starrs-Plain-Rd_Danbury_CT_06810_M35560-03252
"Image for 158 Journeys End Rd, New Canaan, CT 06840 is not found","Sold - Apr 4, 2022","$660,000",2bed,2bath,"1,578sqft",1.76acre lot,/realestateandhomes-detail/158-Journeys-End-Rd_New-Canaan_CT_06840_M45529-85309
"Image for 5 Sunset Rdg, Danbury, CT 06811 is not found","Sold - Apr 4, 2022","$452,000",3bed,1.5bath,"1,044sqft",1acre lot,/realestateandhomes-detail/5-Sunset-Rdg_Danbury_CT_06811_M39453-95085
"Image for 3 Red Oak Ln, Norwalk, CT 06850 is not found","Sold - Apr 4, 2022","$665,000",3bed,2bath,"1,266sqft",1.01acre lot,/realestateandhomes-detail/3-Red-Oak-Ln_Norwalk_CT_06850_M38116-39210
"Image for 33 Tulip Rd, Brewster, NY 10509 is not found","Sold - Apr 4, 2022","$320,000",3bed,1bath,"1,464sqft",1acre lot,/realestateandhomes-detail/33-Tulip-Rd_Brewster_NY_10509_M48693-77379
"Image for 60 Langstroth Dr, Ridgefield, CT 06877 is not found","Sold - Apr 4, 2022","$690,000",4bed,2.5bath,"1,960sqft",2.05acre lot,/realestateandhomes-detail/60-Langstroth-Dr_Ridgefield_CT_06877_M37807-26332
